年度,題號,分類,題幹,選項
110,6,語法結構,"Our teacher Ms. Wu seldom laughs, but when she _____, everyone in the same building can hear her.",(A) can (B) does (C) has (D) will
110,7,語法結構,My sister is coming to my home today. She _____ with me for a week.,(A) stays (B) stayed (C) has stayed (D) will stay
110,9,語法結構,"If you’re interested in our business plan, _____ this number and ask for Ms. Lee. She’ll answer your questions.",(A) calling (B) call (C) and call (D) to call
110,12,語法結構,Fiona loves listening to her children sing songs _____ at school.,(A) are learned (B) that learned (C) they learned (D) that they are learned
110,14,語法結構,Nora: Can I check your drawer for some tools we can use? Matt: Sure. Take a look. See if you can find _____ in there.,(A) any (B) it (C) others (D) those
109,6,語法結構,"My wife enjoys going to the movies with her friends, but I like to watch TV at home by _____.",(A) I (B) me (C) myself (D) mine
109,7,語法結構,"For the past twenty years, my father _____ in a school library. But he’ll leave the job next month.",(A) worked (B) has worked (C) is working (D) works
109,9,語法結構,Mozart _____ his first music when he was only six years old.,(A) is writing (B) has written (C) will write (D) wrote
109,11,語法結構,Alison doesn’t like _____ what to do. She only does things she wants to do.,(A) told (B) to tell (C) be told (D) to be told
109,12,語法結構,Josh has planned to make a trip to New York and _____ some of his friends there.,(A) visit (B) visits (C) visiting (D) visited
109,14,語法結構,"We were so sure that Jerry _____ well on the difficult job. His past experience in other work showed he was the right guy for it. So when he failed, no one believed it.",(A) had done (B) did (C) has done (D) would do
109,15,語法結構,"For Mike, the price is _____ important thing when he shops for jeans. He cares even more about the shape and the size of the pockets.",(A) the more (B) the most (C) the less (D) the least
108,3,語法結構,Playing games on the cellphone _____ popular with high school students.,(A) is (B) are (C) being (D) to be
108,4,語法結構,There _____ more than twenty clubs in our school. Which one would you like to join?,(A) has (B) have (C) is (D) are
108,6,語法結構,"The book under Mary’s desk is _____, but I don’t know why it is there.",(A) us (B) me (C) my (D) mine
108,8,語法結構,It almost killed Kevin to take care of his baby sister for one afternoon. He wondered how his mom could do _____ every day.,(A) her (B) it (C) one (D) them
108,11,語法結構,"_____ that last piece of pie? If not, can I have it? I didn’t eat much this morning.",(A) Had you eaten (B) Were you eating (C) Do you eat (D) Are you going to eat
108,13,語法結構,"In my school days, I _____ to English radio programs every day. That was how I learned English at that time.",(A) listen (B) have listened (C) used to listen (D) was listening
107,3,語法結構,"When the baby cried, Mr. Wu ______ in the kitchen and did not hear it.",(A) cooked (B) was cooking (C) has cooked (D) is going to cook
107,4,語法結構,I don’t have any money with me because I ______ my wallet this morning.,(A) had lost (B) would lose (C) lost (D) was losing
107,8,語法結構,"Dad: Have you brushed your teeth yet? Ann: No, but I ______ before I go to bed.",(A) haven’t (B) have (C) won’t (D) will
107,10,語法結構,It took the police lots of time ______ who entered Liu’s house and killed her one year ago.,(A) and found out (B) find out (C) finding out (D) to find out
107,11,語法結構,Many famous people visit this restaurant. Popular singers like A-mei and Jay Chou ______ here with their friends.,(A) to be often seen (B) often seen (C) are often seen (D) and are often seen
